DATASET_SIMPLEBAR
SEPARATOR COMMA
DATASET_LABEL,genome counts
COLOR,#808080
WIDTH,200
MARGIN,0
HEIGHT_FACTOR,1
BAR_SHIFT,0
BAR_ZERO,0
DATA
metawrap_0_100_bins_AB01_bin.1,1
metawrap_0_100_bins_AB01_bin.11,19
metawrap_0_100_bins_AB01_bin.13,1
metawrap_0_100_bins_AB01_bin.24,1
metawrap_0_100_bins_AB01_bin.25,3
metawrap_0_100_bins_AB01_bin.30,1
metawrap_0_100_bins_AB01_bin.36,3
metawrap_0_100_bins_AB01_bin.56,1
metawrap_0_100_bins_AB02_bin.15,1
metawrap_0_100_bins_AB02_bin.2,1
metawrap_0_100_bins_AB02_bin.26,1
metawrap_0_100_bins_AB02_bin.36,1
metawrap_0_100_bins_AB02_bin.4,1
metawrap_0_100_bins_AB02_bin.42,1
metawrap_0_100_bins_AB02_bin.5,21
metawrap_0_100_bins_AB02_bin.55,8
metawrap_0_100_bins_AB02_bin.59,4
metawrap_0_100_bins_AB03_bin.11,2
metawrap_0_100_bins_AB03_bin.15,8
metawrap_0_100_bins_AB03_bin.22,3
metawrap_0_100_bins_AB03_bin.24,1
metawrap_0_100_bins_AB03_bin.3,1
metawrap_0_100_bins_AB03_bin.35,2
metawrap_0_100_bins_AB03_bin.5,3
metawrap_0_100_bins_AB03_bin.6,1
metawrap_0_100_bins_AB04_bin.23,3
metawrap_0_100_bins_AB04_bin.24,1
metawrap_0_100_bins_AB04_bin.32,4
metawrap_0_100_bins_G17_bin.101,1
metawrap_0_100_bins_G17_bin.102,1
metawrap_0_100_bins_G17_bin.104,3
metawrap_0_100_bins_G17_bin.11,1
metawrap_0_100_bins_G17_bin.113,1
metawrap_0_100_bins_G17_bin.116,5
metawrap_0_100_bins_G17_bin.117,2
metawrap_0_100_bins_G17_bin.119,1
metawrap_0_100_bins_G17_bin.120,1
metawrap_0_100_bins_G17_bin.13,2
metawrap_0_100_bins_G17_bin.133,1
metawrap_0_100_bins_G17_bin.138,9
metawrap_0_100_bins_G17_bin.140,1
metawrap_0_100_bins_G17_bin.143,3
metawrap_0_100_bins_G17_bin.144,2
metawrap_0_100_bins_G17_bin.147,2
metawrap_0_100_bins_G17_bin.148,2
metawrap_0_100_bins_G17_bin.15,1
metawrap_0_100_bins_G17_bin.153,1
metawrap_0_100_bins_G17_bin.161,6
metawrap_0_100_bins_G17_bin.162,5
metawrap_0_100_bins_G17_bin.166,1
metawrap_0_100_bins_G17_bin.169,1
metawrap_0_100_bins_G17_bin.173,2
