max_rate,Sample_ID,village,Agar,1,2,3,4,5,6,7,8,9,10
0.221596097,C015_1,Village C,BD,0.73,0.77,0.98,1.25,1.45,1.9,2.37,2.33,2.62,2.49
0.219235966,C015_2,Village C,BD,0.78,0.82,1.04,1.35,1.58,1.91,2.56,2.39,2.84,2.52
0.187880343,D029_1,Village D,Oxoid,1,1.12,1.45,1.87,1.98,1.97,2.3,2.23,2.23,2.23
0.195481524,D029_2,Village D,Oxoid,1.07,1.21,1.61,2.04,2.19,2.38,2.5,2.55,2.55,2.55
0.161756804,D029_3,Village D,Oxoid,0.35,0.39,0.48,0.57,0.65,0.65,0.73,0.71,0.71,0.71
0.172231463,D029_4,Village D,Oxoid,0.46,0.57,0.68,0.98,0.83,1,1,1.41,1.41,1.41
0.174704961,D029_5,Village D,Oxoid,0.83,0.93,1.11,1.55,1.54,1.56,1.61,1.81,1.81,1.81
0.210495989,D029_6,Village D,Oxoid,0.54,0.63,0.8,1.14,1.15,1.16,1.17,1.51,1.51,1.51
0.179740196,D029_7,Village D,Oxoid,0.63,0.68,0.87,1.15,1.19,1.29,1.31,1.61,1.61,1.61
0.20584907,D031_1,Village D,Oxoid,0.27,0.35,0.43,0.52,0.62,0.63,0.71,0.67,0.67,0.67
0.188793141,D031_2,Village D,Oxoid,1.05,1.2,1.6,2.02,2.08,2.14,2.44,2.45,2.45,2.45
0.19593935,D031_3,Village D,Oxoid,0.26,0.34,0.41,0.52,0.56,0.61,0.64,0.68,0.68,0.68
0.185792404,D031_4,Village D,Oxoid,1,1.12,1.45,1.85,1.97,1.96,2.19,2.29,2.29,2.29
0.18854259,D031_5,Village D,Oxoid,0.64,0.7,0.9,1.19,1.26,1.39,1.43,1.63,1.63,1.63
0.154655483,D031_6,Village D,Oxoid,0.39,0.46,0.55,0.69,0.69,0.69,0.85,0.86,0.86,0.86
0.173420047,D031_7,Village D,Oxoid,0.87,1.01,1.24,1.61,1.64,1.72,1.76,2,2,2
0.156152606,D031_8,Village D,Oxoid,0.38,0.43,0.53,0.64,0.68,0.68,0.76,0.8,0.8,0.8
0.162817478,D031_9,Village D,Oxoid,0.78,0.86,1.05,1.36,1.4,1.52,1.56,1.72,1.72,1.72
0.221098397,F009_1,Village F,BD,0.78,0.86,1.05,1.38,1.59,2.09,2.6,2.46,2.9,2.52
0.226010361,F009_2,Village F,BD,0.46,0.57,0.68,0.96,1.01,1.44,1.75,1.9,1.89,1.63
0.181613726,F016_1,Village F,Oxoid,0.63,0.69,0.89,1.15,1.21,1.36,1.37,1.61,1.61,1.61
0.191056216,F016_2,Village F,Oxoid,0.94,1.04,1.32,1.72,1.9,1.89,2.06,2.18,2.18,2.18
0.171784815,F016_3,Village F,Oxoid,0.86,1,1.21,1.59,1.61,1.69,1.76,1.96,1.96,1.96
0.228091979,F016_4,Village F,BD,0.69,0.72,0.94,1.22,1.36,1.9,2.28,2.31,2.6,2.36
0.162455659,C003_1,Village C,Oxoid,0.39,0.47,0.56,0.7,0.72,0.75,0.88,0.9,0.9,0.9
0.167923089,C003_2,Village C,Oxoid,0.71,0.74,0.96,1.24,1.27,1.42,1.44,1.66,1.66,1.66
0.200826447,C003_3,Village C,Oxoid,0.25,0.33,0.4,0.49,0.56,0.56,0.61,0.65,0.65,0.65
0.152483304,C003_4,Village C,Oxoid,0.42,0.5,0.6,0.74,0.74,0.81,0.9,1,1,1
0.163286043,C003_5,Village C,Oxoid,0.37,0.41,0.53,0.64,0.67,0.69,0.75,0.73,0.73,0.73
0.189513782,C003_6,Village C,Oxoid,0.87,1.01,1.26,1.68,1.74,1.73,1.81,2,2,2
