"","Terbinafine","Ciclopirox","Griseofulvin","Miconazole","Ketoconazole","Itraconazole","Fluconazole","Voriconazole"
"1",0.125,0.5,2,2,8,2,16,0.5
"2",0.062,1,4,1,8,1,16,0.5
"3",0.25,1,2,2,8,2,16,1
"4",0.125,1,2,2,4,2,16,0.5
"5",0.125,1,1,2,4,1,16,0.5
"6",0.062,0.5,2,2,8,1,16,0.25
"7",0.062,1,2,2,4,1,16,0.25
"8",0.031,0.25,0.5,1,2,1,16,0.25
"9",0.062,2,2,2,8,1,16,0.25
"10",0.062,1,2,2,4,1,16,0.25
"11",0.125,1,2,2,8,1,16,0.25
"12",0.031,1,2,2,4,1,16,0.5
"13",0.031,1,2,2,4,0.5,16,0.125
"14",0.031,1,2,2,8,1,16,0.25
"15",0.062,0.5,1,2,4,1,16,0.5
"16",0.031,1,1,2,4,0.5,16,0.25
"17",0.062,0.5,0.5,2,4,1,16,0.5
"18",0.125,1,1,2,4,1,16,0.5
"19",0.125,1,4,2,8,1,16,0.5
"20",0.062,1,2,2,8,2,16,0.5
"21",0.125,1,4,2,4,0.5,16,0.5
"22",0.125,1,2,2,8,0.5,16,0.5
"23",0.062,1,2,2,4,1,16,0.5
"24",0.125,1,2,2,8,1,16,0.5
"25",0.125,1,2,2,8,0.5,16,0.5
"26",1,1,2,2,8,1,16,0.25
"27",0.062,1,2,2,4,1,16,0.5
"28",0.062,1,1,2,4,1,16,0.5
"29",0.125,0.5,2,2,8,1,16,0.25
"30",0.125,1,2,2,4,2,16,1
"31",0.125,1,2,2,4,1,16,0.5
"32",0.062,1,2,2,4,1,16,0.5
"33",0.062,1,1,2,8,1,16,0.25
"34",0.062,1,2,2,8,1,16,0.25
"35",0.125,0.5,4,2,4,1,16,0.5
"36",0.062,0.5,1,1,4,1,16,0.25
"37",0.062,1,2,2,8,1,16,0.25
"38",0.062,1,2,2,8,1,16,0.5
"39",0.062,1,2,2,8,1,16,0.5
"40",0.062,1,2,2,8,1,16,0.25
"41",0.125,1,2,2,8,1,16,0.5
"42",0.062,0.5,2,2,4,0.5,16,0.25
"43",0.062,1,2,2,8,1,16,0.25
"44",0.125,1,4,2,8,1,16,0.5
"45",0.062,1,2,2,4,1,16,0.25
"46",0.062,1,2,2,8,1,16,0.5
"47",0.062,1,2,2,8,1,16,0.5
"48",0.062,1,2,2,4,1,16,0.25
"49",0.125,0.5,2,2,4,1,16,0.5
"50",0.125,0.5,2,2,4,1,16,0.25
"51",0.5,0.5,2,1,4,1,16,0.5
"52",2,1,2,2,4,2,16,1
"53",0.5,1,2,2,4,1,16,0.25
"54",1,1,2,2,4,1,16,0.25
"55",0.5,1,2,2,4,0.5,16,0.25
"56",2,1,2,4,8,2,16,0.5
"57",2,1,2,2,8,2,16,0.25
"58",0.125,1,2,2,4,1,16,0.5
"59",0.062,1,2,2,8,1,16,0.25
"60",0.125,0.5,1,1,4,1,16,0.5
